,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Luwero  ,,231500,234000,465500,237600,239300,476900,243800,244700,488500,250100,250100,500200,256400,255500,511900,262700,260900,523600,269000,266200,535200,275300,271400,546700,281500,276600,558100,287500,281700,569200,293500,286700,580200,299400,291500,590900,305100,296200,601300,310600,300700,611300,315800,304900,620700,320600,308500,629100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Bamunanika ,14800,14500,29300,15200,14900,30100,15600,15200,30800,16000,15500,31500,16400,15900,32300,16800,16200,33000,17200,16500,33700,17600,16900,34500,18000,17200,35200,18300,17500,35800,18700,17800,36500,19100,18100,37200,19500,18400,37900,19800,18700,38500,20200,18900,39100,20500,19200,39700
, Bombo Town Council ,12700,13600,26300,13000,13900,26900,13400,14200,27600,13700,14600,28300,14100,14900,29000,14400,15200,29600,14700,15500,30200,15100,15800,30900,15400,16100,31500,15800,16400,32200,16100,16700,32800,16400,17000,33400,16700,17200,33900,17000,17500,34500,17300,17800,35100,17600,18000,35600
, Butuntumula ,18200,17700,35900,18700,18100,36800,19200,18500,37700,19700,19000,38700,20200,19400,39600,20700,19800,40500,21200,20200,41400,21700,20600,42300,22200,21000,43200,22700,21300,44000,23100,21700,44800,23600,22100,45700,24000,22400,46400,24500,22800,47300,24900,23100,48000,25300,23400,48700
, Kalagala ,22600,22800,45400,23200,23300,46500,23800,23800,47600,24500,24300,48800,25100,24900,50000,25700,25400,51100,26300,25900,52200,26900,26400,53300,27500,26900,54400,28100,27400,55500,28700,27900,56600,29300,28400,57700,29800,28800,58600,30400,29300,59700,30900,29700,60600,31300,30000,61300
, Kamira ,14200,12700,26900,14500,13000,27500,14900,13300,28200,15300,13600,28900,15700,13900,29600,16100,14200,30300,16400,14500,30900,16800,14800,31600,17200,15100,32300,17600,15300,32900,17900,15600,33500,18300,15900,34200,18600,16100,34700,19000,16400,35400,19300,16600,35900,19600,16800,36400
, Katikamu ,21700,22600,44300,22300,23100,45400,22800,23600,46400,23400,24100,47500,24000,24600,48600,24600,25200,49800,25200,25700,50900,25800,26200,52000,26400,26700,53100,26900,27200,54100,27500,27700,55200,28000,28100,56100,28600,28600,57200,29100,29000,58100,29600,29400,59000,30000,29800,59800
, Kikyusa ,17900,17500,35400,18400,17900,36300,18900,18300,37200,19400,18700,38100,19900,19100,39000,20400,19500,39900,20800,19900,40700,21300,20200,41500,21800,20600,42400,22300,21000,43300,22700,21400,44100,23200,21700,44900,23600,22100,45700,24100,22400,46500,24500,22700,47200,24800,23000,47800
, Luweero Town Council ,20300,23400,43700,20800,23900,44700,21300,24500,45800,21900,25000,46900,22400,25600,48000,23000,26100,49100,23500,26600,50100,24100,27200,51300,24600,27700,52300,25200,28200,53400,25700,28700,54400,26200,29200,55400,26700,29600,56300,27200,30100,57300,27600,30500,58100,28100,30900,59000
, Luwero ,17300,16900,34200,17700,17300,35000,18200,17700,35900,18700,18100,36800,19100,18500,37600,19600,18800,38400,20100,19200,39300,20500,19600,40100,21000,20000,41000,21500,20300,41800,21900,20700,42600,22300,21100,43400,22800,21400,44200,23200,21700,44900,23600,22000,45600,23900,22300,46200
, Makulubita ,17100,16400,33500,17600,16800,34400,18000,17100,35100,18500,17500,36000,19000,17900,36900,19400,18300,37700,19900,18600,38500,20400,19000,39400,20800,19400,40200,21300,19700,41000,21700,20100,41800,22200,20400,42600,22600,20700,43300,23000,21100,44100,23400,21400,44800,23700,21600,45300
, Nyimbwa ,19100,18200,37300,19600,18600,38200,20100,19000,39100,20600,19400,40000,21100,19800,40900,21600,20300,41900,22100,20700,42800,22700,21100,43800,23200,21500,44700,23700,21900,45600,24200,22300,46500,24600,22600,47200,25100,23000,48100,25600,23400,49000,26000,23700,49700,26400,24000,50400
, Wobulenzi Town Council ,12600,15000,27600,12900,15300,28200,13300,15600,28900,13600,16000,29600,13900,16300,30200,14300,16700,31000,14600,17000,31600,15000,17300,32300,15300,17700,33000,15600,18000,33600,16000,18300,34300,16300,18600,34900,16600,18900,35500,16900,19200,36100,17200,19500,36700,17400,19700,37100
, Zirobwe ,23000,22700,45700,23700,23200,46900,24300,23900,48200,24800,24300,49100,25500,24700,50200,26100,25200,51300,27000,25900,52900,27400,26300,53700,28100,26700,54800,28500,27500,56000,29300,27800,57100,29900,28300,58200,30500,29000,59500,30800,29100,59900,31300,29600,60900,32000,29800,61800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Lwengo  ,,134600,142300,276900,136200,143600,279800,137700,144900,282600,139200,146200,285400,140700,147400,288100,142000,148500,290500,143300,149600,292900,144600,150600,295200,145700,151500,297200,146700,152200,298900,147600,152900,300500,148300,153500,301800,149000,153900,302900,149500,154200,303700,149800,154400,304200,149900,154100,304000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Kisekka ,23900,25600,49500,24200,25900,50100,24500,26100,50600,24800,26300,51100,25000,26600,51600,25300,26800,52100,25500,27000,52500,25700,27100,52800,25900,27300,53200,26100,27400,53500,26300,27500,53800,26400,27700,54100,26500,27700,54200,26600,27800,54400,26600,27800,54400,26700,27800,54500
,    Kkingo ,16900,17800,34700,17100,17900,35000,17300,18100,35400,17400,18200,35600,17600,18400,36000,17800,18500,36300,18000,18700,36700,18100,18800,36900,18300,18900,37200,18400,19000,37400,18500,19100,37600,18600,19200,37800,18700,19200,37900,18700,19200,37900,18800,19300,38100,18800,19200,38000
,    Kyazanga ,17300,17800,35100,17500,17900,35400,17700,18100,35800,17800,18200,36000,18000,18400,36400,18200,18500,36700,18400,18700,37100,18500,18800,37300,18700,18900,37600,18800,19000,37800,18900,19100,38000,19000,19200,38200,19100,19200,38300,19200,19200,38400,19200,19300,38500,19200,19200,38400
,    Kyazanga Town Council ,7200,8100,15300,7300,8100,15400,7400,8200,15600,7500,8300,15800,7600,8400,16000,7600,8400,16000,7700,8500,16200,7800,8500,16300,7800,8600,16400,7900,8600,16500,7900,8700,16600,8000,8700,16700,8000,8700,16700,8000,8700,16700,8100,8700,16800,8100,8700,16800
,    Lwengo ,24700,25500,50200,25000,25800,50800,25200,26000,51200,25600,26400,52000,25900,26400,52300,26000,26700,52700,26300,26800,53100,26600,27100,53700,26700,27200,53900,26900,27400,54300,27100,27400,54500,27200,27400,54600,27400,27800,55200,27400,27800,55200,27400,27800,55200,27400,27700,55100
,    Lwengo Town Council ,6800,7600,14400,6900,7700,14600,7000,7700,14700,7000,7800,14800,7100,7900,15000,7200,7900,15100,7200,8000,15200,7300,8000,15300,7400,8100,15500,7400,8100,15500,7500,8200,15700,7500,8200,15700,7500,8200,15700,7600,8200,15800,7600,8200,15800,7600,8200,15800
,    Malongo ,18700,20100,38800,18900,20300,39200,19100,20500,39600,19300,20600,39900,19500,20800,40300,19700,21000,40700,19900,21100,41000,20100,21300,41400,20200,21400,41600,20400,21500,41900,20500,21600,42100,20600,21700,42300,20700,21700,42400,20800,21800,42600,20800,21800,42600,20800,21800,42600
,    Ndagwe ,19100,19800,38900,19300,20000,39300,19500,20200,39700,19800,20400,40200,20000,20500,40500,20200,20700,40900,20300,20800,41100,20500,21000,41500,20700,21100,41800,20800,21200,42000,20900,21300,42200,21000,21400,42400,21100,21400,42500,21200,21500,42700,21300,21500,42800,21300,21500,42800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Lyantonde  ,,47900,48000,95900,49400,49400,98800,50900,50700,101600,52500,52100,104600,54000,53500,107500,55600,54900,110500,57200,56300,113500,58800,57700,116500,60500,59100,119600,62100,60500,122600,63700,61900,125600,65200,63300,128500,66800,64600,131400,68300,65900,134200,69800,67200,137000,71200,68300,139500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Kaliiro ,9200,9400,18600,9500,9700,19200,9800,10000,19800,10100,10300,20400,10400,10500,20900,10700,10700,21400,11000,11000,22000,11300,11300,22600,11600,11600,23200,11900,11900,23800,12200,12100,24300,12500,12400,24900,12800,12700,25500,13100,12900,26000,13400,13200,26600,13700,13500,27200
,    Kasagama ,5800,5500,11300,6000,5500,11500,6200,5800,12000,6400,5900,12300,6600,6100,12700,6800,6200,13000,7000,6400,13400,7200,6600,13800,7400,6700,14100,7600,6900,14500,7800,7000,14800,7900,7200,15100,8100,7300,15400,8300,7500,15800,8500,7600,16100,8700,7700,16400
,    Kinuuka ,4500,4500,9000,4600,4600,9200,4800,4700,9500,4900,4800,9700,5100,5000,10100,5200,5100,10300,5400,5200,10600,5500,5300,10800,5700,5500,11200,5800,5600,11400,6000,5700,11700,6100,5900,12000,6300,6000,12300,6400,6100,12500,6500,6200,12700,6700,6300,13000
,    Lyantonde ,9300,9200,18500,9600,9700,19300,9800,9900,19700,10100,10100,20200,10200,10400,20600,10700,10800,21500,11000,11000,22000,11300,11400,22700,11600,11600,23200,12000,11800,23800,12300,12200,24500,12700,12400,25100,12800,12700,25500,13200,12900,26100,13500,13200,26700,13700,13300,27000
,    Lyantonde Town Council ,6700,7400,14100,6900,7600,14500,7100,7700,14800,7400,8100,15500,7600,8200,15800,7800,8500,16300,8000,8700,16700,8200,8800,17000,8500,9000,17500,8700,9300,18000,8900,9500,18400,9100,9700,18800,9400,9900,19300,9600,10100,19700,9800,10300,20100,10000,10500,20500
,    Mpumudde ,7100,7100,14200,7400,7300,14700,7600,7500,15100,7800,7600,15400,8100,7900,16000,8300,8100,16400,8500,8300,16800,8800,8500,17300,9000,8700,17700,9300,8900,18200,9500,9100,18600,9700,9300,19000,10000,9500,19500,10200,9700,19900,10400,9900,20300,10600,10100,20700
, Lyakajura ,5300,4900,10200,5400,5000,10400,5600,5100,10700,5800,5300,11100,6000,5400,11400,6100,5500,11600,6300,5700,12000,6500,5800,12300,6700,6000,12700,6800,6100,12900,7000,6300,13300,7200,6400,13600,7400,6500,13900,7500,6700,14200,7700,6800,14500,7800,6900,14700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Masaka  ,,148200,153700,301900,151700,156900,308600,155300,160100,315400,158900,163300,322200,162400,166500,328900,166000,169700,335700,169500,172800,342300,173000,175800,348800,176400,178800,355200,179700,181800,361500,183000,184600,367600,186100,187300,373400,189100,189900,379000,192000,192400,384400,194800,194800,389600,197200,196600,393800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Bukakata ,9600,8400,18000,9800,8600,18400,10100,8800,18900,10300,9000,19300,10500,9100,19600,10700,9300,20000,11000,9500,20500,11200,9700,20900,11400,9800,21200,11600,10000,21600,11800,10100,21900,12000,10300,22300,12200,10400,22600,12400,10600,23000,12600,10700,23300,12800,10800,23600
,    Buwunga ,21500,21500,43000,22000,21900,43900,22500,22300,44800,23000,22800,45800,23500,23200,46700,24000,23700,47700,24500,24100,48600,25100,24500,49600,25500,25000,50500,26000,25400,51400,26500,25800,52300,27000,26100,53100,27400,26500,53900,27800,26900,54700,28200,27200,55400,28600,27400,56000
,    Kabonera ,16200,17400,33600,16600,17700,34300,17000,18100,35100,17400,18400,35800,17700,18800,36500,18100,19200,37300,18500,19500,38000,18900,19800,38700,19300,20200,39500,19600,20500,40100,20000,20800,40800,20300,21100,41400,20700,21400,42100,21000,21700,42700,21300,22000,43300,21500,22200,43700
,    Kyanamukaaka ,16200,15800,32000,16600,16200,32800,17000,16500,33500,17400,16800,34200,17800,17100,34900,18200,17500,35700,18500,17800,36300,18900,18100,37000,19300,18400,37700,19700,18700,38400,20000,19000,39000,20400,19300,39700,20700,19600,40300,21000,19800,40800,21300,20100,41400,21600,20200,41800
,    Kyesiiga ,13000,12300,25300,13300,12500,25800,13600,12800,26400,13900,13000,26900,14200,13300,27500,14500,13500,28000,14800,13800,28600,15200,14000,29200,15500,14300,29800,15700,14500,30200,16000,14700,30700,16300,14900,31200,16600,15200,31800,16800,15300,32100,17100,15500,32600,17300,15700,33000
,    Mukungwe ,21800,23200,45000,22300,23800,46100,22800,24200,47000,23400,24800,48200,24100,25300,49400,24700,25700,50400,25200,26100,51300,25500,26700,52200,26100,27000,53100,26700,27500,54200,27200,28100,55300,27600,28400,56000,27900,28800,56700,28400,29200,57600,28800,29500,58300,29100,29800,58900
, Masaka Municipality , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,    Katwe-Butego Division ,12200,13600,25800,12500,13900,26400,12800,14200,27000,13100,14400,27500,13300,14700,28000,13600,15000,28600,13900,15300,29200,14200,15500,29700,14500,15800,30300,14800,16100,30900,15000,16300,31300,15300,16600,31900,15500,16800,32300,15800,17000,32800,16000,17200,33200,16200,17400,33600
,    Kimaanya-Kyabakuza Division ,16700,18200,34900,17100,18500,35600,17500,18900,36400,17900,19300,37200,18300,19700,38000,18700,20000,38700,19100,20400,39500,19500,20800,40300,19800,21100,40900,20200,21500,41700,20600,21800,42400,20900,22100,43000,21300,22400,43700,21600,22700,44300,21900,23000,44900,22200,23200,45400
,    Nyendo-Ssenyange Division ,21000,23300,44300,21500,23800,45300,22000,24300,46300,22500,24800,47300,23000,25300,48300,23500,25800,49300,24000,26300,50300,24500,26700,51200,25000,27200,52200,25400,27600,53000,25900,28000,53900,26300,28500,54800,26800,28800,55600,27200,29200,56400,27600,29600,57200,27900,29900,57800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Mpigi  ,,127900,127300,255200,131100,130300,261400,134400,133200,267600,137700,136200,273900,141100,139200,280300,144400,142200,286600,147700,145200,292900,150900,148200,299100,154200,151100,305300,157300,153900,311200,160400,156700,317100,163500,159400,322900,166400,162100,328500,169200,164600,333800,171900,167000,338900,174300,169000,343300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Buwama ,25800,25600,51400,26500,26300,52800,27100,26700,53800,27900,27400,55300,28600,27900,56500,29300,28500,57800,29900,29100,59000,30600,29800,60400,31300,30300,61600,32000,30900,62900,32500,31400,63900,33000,32000,65000,33700,32500,66200,34300,33000,67300,34700,33400,68100,35100,34000,69100
,    Kammengo ,20200,19500,39700,20700,19900,40600,21200,20400,41600,21700,20800,42500,22200,21300,43500,22800,21800,44600,23300,22200,45500,23800,22700,46500,24300,23100,47400,24800,23600,48400,25300,24000,49300,25800,24400,50200,26200,24800,51000,26700,25200,51900,27100,25600,52700,27500,25900,53400
,    Kiringente ,11600,11500,23100,11900,11800,23700,12200,12000,24200,12500,12300,24800,12800,12600,25400,13100,12900,26000,13400,13100,26500,13700,13400,27100,14000,13700,27700,14300,13900,28200,14600,14200,28800,14900,14400,29300,15100,14700,29800,15400,14900,30300,15600,15100,30700,15900,15300,31200
,    Kituntu ,11500,11200,22700,11800,11400,23200,12100,11700,23800,12400,12000,24400,12700,12200,24900,13000,12500,25500,13300,12800,26100,13600,13000,26600,13900,13300,27200,14100,13500,27600,14400,13800,28200,14700,14000,28700,15000,14200,29200,15200,14500,29700,15500,14700,30200,15700,14800,30500
,    Mpigi Town Council ,21600,22600,44200,22100,23100,45200,22700,23700,46400,23200,24200,47400,23800,24700,48500,24300,25200,49500,24900,25800,50700,25400,26300,51700,26000,26800,52800,26500,27300,53800,27000,27800,54800,27600,28300,55900,28100,28800,56900,28500,29200,57700,29000,29700,58700,29400,30000,59400
,    Muduuma ,16000,15200,31200,16400,15600,32000,16800,16000,32800,17200,16300,33500,17600,16700,34300,18000,17000,35000,18400,17400,35800,18800,17700,36500,19200,18100,37300,19600,18400,38000,20000,18800,38800,20400,19100,39500,20800,19400,40200,21100,19700,40800,21500,20000,41500,21800,20200,42000
,    Nkozi ,21200,21700,42900,21700,22200,43900,22300,22700,45000,22800,23200,46000,23400,23800,47200,23900,24300,48200,24500,24800,49300,25000,25300,50300,25500,25800,51300,26000,26300,52300,26600,26700,53300,27100,27200,54300,27500,27700,55200,28000,28100,56100,28500,28500,57000,28900,28800,57700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Mukono  ,,296200,314000,610200,304700,323200,627900,313300,332700,646000,322000,342300,664300,330800,352000,682800,339600,361800,701400,348500,371600,720100,357300,381500,738800,366100,391400,757500,374800,401200,776000,383300,411000,794300,391800,420700,812500,400000,430300,830300,408000,439700,847700,415800,449000,864800,422900,457200,880100
, Mukono Municipality , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
, Central Division ,31800,39400,71200,32700,40600,73300,33700,41800,75500,34600,43000,77600,35500,44200,79700,36500,45400,81900,37400,46700,84100,38400,47900,86300,39300,49100,88400,40300,50400,90700,41200,51600,92800,42100,52800,94900,43000,54000,97000,43800,55200,99000,44700,56400,101100,45400,57400,102800
, Goma Division ,44500,50600,95100,45700,52100,97800,46900,53800,100700,48300,55400,103700,49800,57000,106800,51100,58300,109400,52300,60000,112300,53600,61700,115300,55000,63000,118000,56300,64700,121000,57700,66500,124200,59000,68000,127000,60400,69500,129900,61400,70900,132300,62400,72300,134700,63600,73800,137400
, Kasawo ,18100,18700,36800,18600,19200,37800,19100,19800,38900,19700,20300,40000,20200,20900,41100,20700,21500,42200,21300,22100,43400,21800,22700,44500,22300,23300,45600,22900,23800,46700,23400,24400,47800,23900,25000,48900,24400,25600,50000,24900,26100,51000,25400,26700,52100,25800,27200,53000
, Kimenyedde ,17500,18900,36400,18000,19500,37500,18500,20000,38500,19000,20600,39600,19600,21200,40800,20100,21800,41900,20600,22400,43000,21100,23000,44100,21600,23600,45200,22200,24200,46400,22700,24700,47400,23200,25300,48500,23600,25900,49500,24100,26500,50600,24600,27000,51600,25000,27500,52500
, Koome Island ,10800,8400,19200,11100,8700,19800,11400,8900,20300,11700,9200,20900,12000,9500,21500,12300,9700,22000,12700,10000,22700,13000,10200,23200,13300,10500,23800,13600,10800,24400,13900,11000,24900,14200,11300,25500,14500,11600,26100,14800,11800,26600,15100,12100,27200,15400,12300,27700
, Kyampisi ,22600,23400,46000,23300,24100,47400,23900,24800,48700,24600,25500,50100,25200,26200,51400,25900,27000,52900,26600,27700,54300,27300,28400,55700,27900,29200,57100,28600,29900,58500,29200,30600,59800,29900,31300,61200,30500,32100,62600,31100,32800,63900,31700,33500,65200,32300,34100,66400
, Mpatta ,9100,8400,17500,9400,8600,18000,9700,8900,18600,9900,9200,19100,10200,9400,19600,10500,9700,20200,10700,9900,20600,11000,10200,21200,11300,10500,21800,11600,10700,22300,11800,11000,22800,12100,11300,23400,12300,11500,23800,12600,11800,24400,12800,12000,24800,13000,12200,25200
, Mpunge ,7300,7000,14300,7500,7200,14700,7700,7400,15100,7900,7600,15500,8100,7800,15900,8300,8000,16300,8500,8200,16700,8800,8500,17300,9000,8700,17700,9200,8900,18100,9400,9100,18500,9600,9300,18900,9800,9500,19300,10000,9800,19800,10200,10000,20200,10400,10100,20500
, Nabbaale ,18000,19500,37500,18500,20100,38600,19100,20600,39700,19600,21200,40800,20100,21800,41900,20700,22500,43200,21200,23100,44300,21700,23700,45400,22300,24300,46600,22800,24900,47700,23300,25500,48800,23800,26100,49900,24300,26700,51000,24800,27300,52100,25300,27900,53200,25700,28400,54100
, Nagojje ,17600,17700,35300,18100,18200,36300,18600,18800,37400,19100,19300,38400,19600,19800,39400,20100,20400,40500,20700,21000,41700,21200,21500,42700,21700,22100,43800,22200,22600,44800,22700,23200,45900,23200,23700,46900,23700,24300,48000,24200,24800,49000,24700,25300,50000,25100,25800,50900
, Nakisunga ,24500,25000,49500,25200,25700,50900,25900,26400,52300,26600,27200,53800,27300,28000,55300,28000,28800,56800,28800,29500,58300,29500,30300,59800,30200,31100,61300,30900,31900,62800,31600,32700,64300,32300,33400,65700,33000,34200,67200,33700,35000,68700,34300,35700,70000,34900,36300,71200
, Nama ,26800,28700,55500,27600,29500,57100,28400,30400,58800,29200,31200,60400,30000,32100,62100,30800,33000,63800,31600,33900,65500,32400,34800,67200,33200,35700,68900,33900,36600,70500,34700,37500,72200,35500,38400,73900,36200,39300,75500,36900,40100,77000,37700,41000,78700,38300,41700,80000
, Ntenjeru ,20600,21400,42000,21200,22000,43200,21800,22700,44500,22400,23300,45700,23000,24000,47000,23600,24700,48300,24300,25300,49600,24900,26000,50900,25500,26700,52200,26100,27400,53500,26700,28000,54700,27300,28700,56000,27800,29300,57100,28400,30000,58400,28900,30600,59500,29400,31200,60600
, Ntunda ,7800,7600,15400,8000,7800,15800,8300,8000,16300,8500,8300,16800,8700,8500,17200,9000,8800,17800,9200,9000,18200,9400,9200,18600,9700,9500,19200,9900,9700,19600,10100,9900,20000,10300,10200,20500,10500,10400,20900,10800,10600,21400,11000,10900,21900,11100,11100,22200
, Seeta Namuganga ,19200,19300,38500,19800,19900,39700,20300,20400,40700,20900,21000,41900,21500,21600,43100,22000,22200,44200,22600,22800,45400,23200,23400,46600,23800,24100,47900,24300,24700,49000,24900,25300,50200,25400,25900,51300,26000,26400,52400,26500,27000,53500,27000,27600,54600,27500,28100,55600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Nakaseke  ,,107900,94300,202200,111900,96500,208400,115900,98800,214700,120100,101200,221300,124400,103500,227900,128800,105800,234600,133200,108200,241400,137700,110500,248200,142200,112700,254900,146800,115000,261800,151300,117200,268500,155900,119300,275200,160500,121400,281900,165000,123400,288400,169600,125400,295000,173900,127000,300900
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Butalangu Town Council ,2400,1800,4200,2400,1900,4300,2500,1900,4400,2600,2000,4600,2700,2000,4700,2800,2100,4900,2900,2100,5000,3000,2200,5200,3100,2200,5300,3200,2200,5400,3300,2300,5600,3400,2300,5700,3500,2400,5900,3600,2400,6000,3700,2400,6100,3800,2500,6300
, Kapeeka ,16100,12500,28600,17000,12600,29600,17600,13000,30600,18100,13000,31100,18500,13500,32000,19300,13800,33100,20000,14300,34300,20800,14500,35300,21400,14700,36100,22200,14900,37100,22700,15600,38300,23300,15700,39000,24100,15800,39900,24900,16100,41000,25300,16500,41800,25900,16600,42500
, Kasangombe ,11300,11000,22300,11700,11200,22900,12100,11500,23600,12600,11800,24400,13000,12100,25100,13500,12300,25800,14000,12600,26600,14400,12900,27300,14900,13100,28000,15400,13400,28800,15800,13600,29400,16300,13900,30200,16800,14100,30900,17300,14400,31700,17800,14600,32400,18200,14800,33000
, Kikamulo ,9600,9300,18900,9900,9500,19400,10300,9700,20000,10700,10000,20700,11100,10200,21300,11400,10400,21800,11800,10700,22500,12200,10900,23100,12600,11100,23700,13000,11300,24300,13400,11500,24900,13900,11800,25700,14300,12000,26300,14700,12200,26900,15100,12400,27500,15500,12500,28000
, Kinoni ,3900,3000,6900,4000,3100,7100,4100,3100,7200,4300,3200,7500,4400,3300,7700,4600,3400,8000,4800,3400,8200,4900,3500,8400,5100,3600,8700,5200,3700,8900,5400,3700,9100,5600,3800,9400,5700,3900,9600,5900,3900,9800,6100,4000,10100,6200,4000,10200
, Kinyogoga ,7500,4500,12000,7700,4600,12300,8000,4700,12700,8300,4800,13100,8600,4900,13500,8900,5000,13900,9200,5100,14300,9500,5200,14700,9800,5300,15100,10200,5400,15600,10500,5500,16000,10800,5600,16400,11100,5700,16800,11400,5800,17200,11700,5900,17600,12000,6000,18000
, Kito ,5200,4700,9900,5400,4900,10300,5600,5000,10600,5800,5100,10900,6100,5200,11300,6300,5300,11600,6500,5400,11900,6700,5600,12300,6900,5700,12600,7100,5800,12900,7400,5900,13300,7600,6000,13600,7800,6100,13900,8000,6200,14200,8200,6300,14500,8500,6400,14900
, Kiwoko Town Council ,5500,5800,11300,5700,6000,11700,5900,6100,12000,6100,6300,12400,6400,6400,12800,6600,6600,13200,6800,6700,13500,7000,6800,13800,7300,7000,14300,7500,7100,14600,7700,7300,15000,8000,7400,15400,8200,7500,15700,8400,7600,16000,8700,7800,16500,8900,7900,16800
, Nakaseke ,9200,8900,18100,9500,9100,18600,9800,9300,19100,10200,9600,19800,10600,9800,20400,10900,10000,20900,11300,10200,21500,11700,10400,22100,12100,10600,22700,12500,10900,23400,12800,11100,23900,13200,11300,24500,13600,11500,25100,14000,11700,25700,14400,11800,26200,14800,12000,26800
, Nakaseke Town Council ,3600,3800,7400,3700,3900,7600,3900,4000,7900,4000,4100,8100,4200,4200,8400,4300,4300,8600,4400,4400,8800,4600,4500,9100,4700,4600,9300,4900,4700,9600,5100,4700,9800,5200,4800,10000,5400,4900,10300,5500,5000,10500,5700,5100,10800,5800,5100,10900
, Ngoma ,4700,3300,8000,4900,3400,8300,5100,3500,8600,5300,3600,8900,5400,3700,9100,5600,3700,9300,5800,3800,9600,6000,3900,9900,6200,4000,10200,6400,4100,10500,6600,4100,10700,6800,4200,11000,7000,4300,11300,7200,4400,11600,7400,4400,11800,7600,4500,12100
, Ngoma Town Council ,3300,3200,6500,3400,3200,6600,3500,3300,6800,3600,3400,7000,3800,3500,7300,3900,3600,7500,4000,3600,7600,4200,3700,7900,4300,3800,8100,4400,3900,8300,4600,3900,8500,4700,4000,8700,4900,4100,9000,5000,4100,9100,5100,4200,9300,5300,4300,9600
, Semuto ,12400,11500,23900,12900,11800,24700,13400,12100,25500,13900,12400,26300,14400,12600,27000,14900,12900,27800,15400,13200,28600,15900,13500,29400,16400,13800,30200,16900,14100,31000,17500,14300,31800,18000,14600,32600,18500,14800,33300,19000,15100,34100,19600,15300,34900,20100,15500,35600
, Semuto Town Council ,5500,5400,10900,5700,5500,11200,5900,5700,11600,6100,5800,11900,6400,5900,12300,6600,6100,12700,6800,6200,13000,7000,6300,13300,7300,6500,13800,7500,6600,14100,7700,6700,14400,8000,6800,14800,8200,7000,15200,8400,7100,15500,8700,7200,15900,8900,7300,16200
, Wakyato ,7700,5600,13300,8000,5800,13800,8200,5900,14100,8500,6100,14600,8800,6200,15000,9200,6300,15500,9500,6500,16000,9800,6600,16400,10100,6700,16800,10400,6900,17300,10800,7000,17800,11100,7100,18200,11400,7300,18700,11700,7400,19100,12100,7500,19600,12400,7600,20000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
